Other_Seal_ID,Well_Report_ID,Other_Seal_Type,From,To,At
32469,12044179,Shale Trap,null,null,157
32470,12044182,Drive Shoe,null,null,61
32471,12044182,Shale Trap,null,null,60.6
32472,12044183,Drive Shoe,null,null,124.671916
32473,12044183,K-Packer,null,null,123.031496
32474,12044184,Shale Trap,null,null,250
32475,12044184,Shale Trap,null,null,240
32476,12044184,Drive Shoe,null,null,52
32477,12044187,Drive Shoe,null,null,17
32478,12044195,Shale Trap,null,null,65
32479,12044197,Drive Shoe,null,null,357
32480,12030887,Drive Shoe,null,null,92
32481,12044205,Shale Trap,null,null,116
32482,12044205,Shale Trap,null,null,115
32483,12044205,Drive Shoe,null,null,113
32484,12044209,Formation Packer,null,null,280
32485,12044209,Driven,null,null,272
32486,12044209,Drive Shoe,null,null,272
32487,12026907,Drive Shoe,null,null,170
32488,12037987,Drive Shoe,null,null,78
32489,12044217,Drive Shoe,null,null,50
32490,12044217,Driven,null,null,50
32491,12044218,Drive Shoe,null,null,258
32492,12044218,Shale Trap,null,null,257.6
32493,12044219,Drive Shoe,null,null,120
32494,12044221,Shale Trap,null,null,100
32495,12044222,Shale Trap,null,null,154
32496,12044223,Shale Trap,null,null,164
32497,12044224,Shale Trap,null,null,69
32498,12044231,Shale Trap,null,null,123
32499,12044234,K-Packer,null,null,60
32500,12044234,Driven,null,null,55
32501,12044234,Shale Trap,null,null,50
32502,12044238,Shale Trap,null,null,130
32503,12044080,Shale Trap,null,null,94
32504,12044242,K-Packer,null,null,193
32505,12044242,Drive Shoe,null,null,159
32506,12044242,K-Packer,null,null,158
32507,12044243,Driven,null,null,150
32508,12044243,Driven,null,null,145
32509,12044244,Driven,null,null,64
32510,12044244,Driven,null,null,62
32511,12044245,Drive Shoe,null,null,100
32512,12044246,Drive Shoe,null,null,52.5
32513,12044248,Driven,null,null,117
32514,12044248,Drive Shoe,null,null,117
32515,12044252,Driven,null,null,50
32516,12044252,Drive Shoe,null,null,50
32517,12044256,Shale Trap,null,null,75
32518,12044256,Drive Shoe,null,null,57.5
32519,12044257,Drive Shoe,null,null,117
32520,12044258,K-Packer,null,null,128
32521,12044258,Drive Shoe,null,null,128
32522,12044259,Shale Trap,null,null,315
32523,12044259,Drive Shoe,null,null,174
32524,12044261,Drive Shoe,null,null,85
32525,12044262,Shale Trap,null,null,180
32526,12044262,Drive Shoe,null,null,175
32527,12044264,Drive Shoe,null,null,72.5
32528,12044264,Driven,null,null,32
32529,12044265,Formation Packer,null,null,126
32530,12044265,Welded Ring,null,null,119
32531,12044273,Driven,null,null,28
32532,12044274,Drive Shoe,null,null,83.5
32533,12044274,Driven,null,null,83
32534,12044274,Driven,null,null,80
32535,12044277,Shale Trap,null,null,107
32536,12044247,Driven,null,null,120
32537,12044283,Shale Trap,null,null,181
32538,12044283,Shale Trap,null,null,180
32539,12044283,Driven,null,null,160
32540,12044283,K-Packer,null,null,140
32541,12044287,Shale Trap,null,null,137
32542,12044291,Shale Trap,null,null,97
32543,12044294,Driven,null,null,51
32544,12044296,Driven,null,null,122
32545,12044285,Shale Trap,null,null,57
32546,12044298,Shale Trap,null,null,120
32547,12044300,Shale Trap,null,null,130
32548,12044300,Shale Trap,null,null,90
32549,12044301,Shale Trap,null,null,194
32550,12044301,Shale Trap,null,null,150
32551,12044301,Drive Shoe,null,null,101
32552,12044301,K-Packer,null,null,100
32553,12044303,Shale Trap,null,null,265
32554,12044303,Shale Trap,null,null,240
32555,12044307,Shale Trap,null,null,157
32556,12044302,Shale Trap,null,null,149.5
32557,12044314,Drive Shoe,null,null,205
32558,12044314,Shale Trap,null,null,204.6
32559,12044315,Formation Packer,null,null,102
32560,12044315,Driven,null,null,98
32561,12044315,K-Packer,null,null,79
32562,12044316,Shale Trap,null,null,106
32563,12044318,Formation Packer,null,null,165
32564,12044318,Welded Ring,null,null,79
32565,12044319,Formation Packer,null,null,206
32566,12044319,Welded Ring,null,null,59
32567,12044320,Formation Packer,null,null,95
32568,12044320,Drive Shoe,null,null,86
32569,12044324,Shale Trap,null,null,220
32570,12044327,Shale Trap,null,null,60
32571,12044328,Shale Trap,null,null,115
32572,12044327,Driven,null,null,60
32573,12044328,Driven,null,null,115
32574,12044329,Driven,null,null,80
32575,12044329,Shale Trap,null,null,80
32576,12044332,Shale Trap,null,null,100
32577,12044333,Shale Trap,null,null,180
32578,12044334,Shale Trap,null,null,200
32579,12044332,Driven,null,null,100
32580,12044335,Shale Trap,null,null,80
32581,12044333,Driven,null,null,180
32582,12044334,Driven,null,null,200
32583,12044335,Driven,null,null,80
32584,12044336,Shale Trap,null,null,120
32585,12044336,Driven,null,null,18
32586,12044336,Drive Shoe,null,null,18
32587,12044338,Shale Trap,null,null,50
32588,12044338,Drive Shoe,null,null,23
32589,12044341,Shale Trap,null,null,120
32590,12044341,Driven,null,null,120
32591,12044342,Shale Trap,null,null,125
32592,12044344,Shale Trap,null,null,50
32593,12044346,Shale Trap,null,null,60
32594,12044344,Driven,null,null,50
32595,12044346,Driven,null,null,60
32596,12044348,Shale Trap,null,null,40
32597,12044348,Driven,null,null,40
32598,12044349,Shale Trap,null,null,80
32599,12044350,Shale Trap,null,null,80
32600,12044351,Drive Shoe,null,null,37
32601,12044353,Drive Shoe,null,null,58
32602,12044352,Shale Trap,null,null,75
32603,12044355,Drive Shoe,null,null,98
32604,12044356,Shale Trap,null,null,100
32605,12044357,Shale Trap,null,null,80
32606,12044360,Shale Trap,null,null,137
32607,12044361,Driven,null,null,80
32608,12044361,Shale Trap,null,null,80
32609,12044349,Driven,null,null,80
32610,12044350,Driven,null,null,80
32611,12044352,Driven,null,null,75
32612,12044356,Driven,null,null,100
32613,12044357,Driven,null,null,80
32614,12044366,Driven,null,null,77
32615,12044369,Driven,null,null,34
32616,12044373,Shale Trap,null,null,70
32617,12044374,Shale Trap,null,null,70
32618,12044375,Shale Trap,null,null,60
32619,12044375,Drive Shoe,null,null,58
32620,12044376,Drive Shoe,null,null,56
32621,12044377,Drive Shoe,null,null,38
32622,12044377,Welded Ring,null,null,18
32623,12044378,Drive Shoe,null,null,38
32624,12044379,Drive Shoe,null,null,78
32625,12044380,Shale Trap,null,null,150
32626,12044380,Drive Shoe,null,null,58
32627,12044381,Driven,null,null,92
32628,12044384,Shale Trap,null,null,18
32629,12044385,Shale Trap,null,null,81
32630,12044387,Shale Trap,null,null,18
32631,12044395,Driven,null,null,52
32632,12044395,Drive Shoe,null,null,52
32633,12044395,Driven,null,null,29
32634,12044395,Drive Shoe,null,null,29
32635,12044396,Drive Shoe,null,null,60
32636,12044396,Shale Trap,null,null,58
32637,12044404,Drive Shoe,null,null,38
32638,12044403,Driven,null,null,95.5
32639,12044411,K-Packer,null,null,90
32640,12044411,Drive Shoe,null,null,58
32641,12044410,Driven,null,null,79.8
32642,12044417,Drive Shoe,null,null,43
32643,12044417,Driven,null,null,43
32644,12044419,Drive Shoe,null,null,115.8
32645,12044419,Shale Trap,null,null,115.2
32646,12044421,Drive Shoe,null,null,129
32647,12044421,K-Packer,null,null,128
32648,12044423,Drive Shoe,null,null,156
32649,12044423,Shale Trap,null,null,155
32650,12044424,Drive Shoe,null,null,140
32651,12044425,Shale Trap,null,null,182
32652,12044426,Drive Shoe,null,null,72
32653,12044428,Shale Trap,null,null,78
32654,12044429,K-Packer,null,null,64
32655,12044429,Driven,null,null,43
32656,12044431,Driven,null,null,322
32657,12044431,Drive Shoe,null,null,322
32658,12044432,Shale Trap,null,null,123
32659,12044433,Drive Shoe,null,null,185
32660,12044433,Driven,null,null,185
32661,12044435,Driven,null,null,81
32662,12044435,Driven,null,null,78
32663,12044436,Driven,null,null,86
32664,12044436,Driven,null,null,83
32665,12044443,Formation Packer,null,null,259
32666,12044443,Shale Trap,null,null,258
32667,12044450,Shale Trap,null,null,60
32668,12044450,Shale Trap,null,null,52
32669,12044451,Shale Trap,null,null,92
32670,12044452,Shale Trap,null,null,162
32671,12044453,Drive Shoe,null,null,20
32672,12044453,Driven,null,null,20
32673,12044454,Drive Shoe,null,null,112
32674,12044457,K-Packer,null,null,300
32675,12044458,Shale Trap,null,null,105
32676,12044458,Drive Shoe,null,null,57
32677,12044459,Driven,null,null,37
32678,12044460,Driven,null,null,59
32679,12044463,Drive Shoe,null,null,197
32680,12044463,K-Packer,null,null,188
32681,12044464,Shale Trap,null,null,292
32682,12044464,Shale Trap,null,null,290
32683,12044466,Shale Trap,null,null,235
32684,12044466,Shale Trap,null,null,200
32685,12044466,Drive Shoe,null,null,80
32686,12044467,Shale Trap,null,null,132
32687,12044467,Shale Trap,null,null,130
32688,12044467,Drive Shoe,null,null,60
32689,12044468,Drive Shoe,null,null,60
32690,12044470,K-Packer,null,null,117
32691,12044470,Drive Shoe,null,null,117
32692,12044474,Driven,null,null,77
32693,12044476,Driven,null,null,91
32694,12044477,Driven,null,null,206
32695,12044478,Driven,null,null,38
32696,12044479,Driven,null,null,118
32697,12044480,Driven,null,null,175
32698,12044481,Driven,null,null,64
32699,12044482,K-Packer,null,null,50
32700,12044483,Shale Trap,null,null,205
32701,12044483,Driven,null,null,190
32702,12044483,K-Packer,null,null,105
32703,12044475,Welded Ring,null,null,23
32704,12044475,Welded Ring,null,null,18
32705,12044484,Driven,null,null,44
32706,12044485,Driven,null,null,84
32707,12044487,Shale Trap,null,null,111
32708,12044490,Driven,null,null,37.1
32709,12044492,Shale Trap,null,null,28
32710,12044491,Shale Trap,null,null,155
32711,12044491,Driven,null,null,120
32712,12044491,K-Packer,null,null,110
32713,12044494,Driven,null,null,57
32714,12044495,Drive Shoe,null,null,40
32715,12044497,Shale Trap,null,null,82
32716,12044498,Shale Trap,null,null,210
32717,12044498,Shale Trap,null,null,208
32718,12044498,Drive Shoe,null,null,113
32719,12044499,Drive Shoe,null,null,20
32720,12044503,Shale Trap,null,null,76
32721,12044505,Shale Trap,null,null,84
32722,12044509,K-Packer,null,null,104
32723,12044509,K-Packer,null,null,103
32724,12044509,Driven,null,null,100
32725,12044509,K-Packer,null,null,90
32726,12044506,Driven,null,null,41.2
32727,12044510,Drive Shoe,null,null,94
32728,12044510,Shale Trap,null,null,93
32729,12044508,Drive Shoe,null,null,235
32730,12044508,Shale Trap,null,null,234.6
32731,12044511,Shale Trap,null,null,277
32732,12044511,Shale Trap,null,null,100
32733,12044511,Drive Shoe,null,null,79.5
32735,12044513,K-Packer,null,null,198
32737,12044516,Driven,null,null,37
32738,12044521,Drive Shoe,null,null,231
32739,12044520,Drive Shoe,null,null,231
32740,12044520,K-Packer,null,null,230
32741,12044525,Drive Shoe,null,null,97
32742,12044525,Shale Trap,null,null,96
32743,12044538,Drive Shoe,null,null,133
32744,12044538,K-Packer,null,null,128
32745,12044539,Driven,null,null,19
32746,12044541,Shale Trap,null,null,65
32747,12044542,Shale Trap,null,null,13
32748,12044543,Shale Trap,null,null,20
32749,12044545,K-Packer,null,null,61
