FIELD_PERSONNEL_ID,WELL_TEST_ID,YIELD_TESTER_COY,APEGA_OVERSEER_COY,LEAD_SAMPLER_COY,CREATE_TIMESTAMP,CREATE_USERID
1084901,2301,null,Stantec Consulting Ltd.,Stantec Consulting Ltd.,2011-10-20T10:38:47.710Z,CONVERSION
1084903,493,null,Stantec Consulting Ltd.,Stantec Consulting Ltd.,2011-10-20T10:38:47.710Z,CONVERSION
1084905,1723,null,Stantec Consulting Ltd.,Stantec Consulting Ltd.,2011-10-20T10:38:47.710Z,CONVERSION
1084907,692,null,Stantec Consulting Ltd.,Stantec Consulting Ltd.,2011-10-20T10:38:47.710Z,CONVERSION
1084909,2249,null,Stantec Consulting Ltd.,Stantec Consulting Ltd.,2011-10-20T10:38:47.710Z,CONVERSION
1084911,2344,null,Stantec Consulting Ltd.,Stantec Consulting Ltd.,2011-10-20T10:38:47.710Z,CONVERSION
1084913,1531,null,Stantec Consulting Ltd.,Stantec Consulting Ltd.,2011-10-20T10:38:47.710Z,CONVERSION
1084915,585,null,Stantec Consulting Ltd.,Stantec Consulting Ltd.,2011-10-20T10:38:47.710Z,CONVERSION
1084917,194,null,Stantec Consulting Ltd.,Stantec Consulting Ltd.,2011-10-20T10:38:47.710Z,CONVERSION
1084919,1861,null,Stantec Consulting Ltd.,Stantec Consulting Ltd.,2011-10-20T10:38:47.710Z,CONVERSION
1084921,1192,null,Stantec Consulting Ltd.,Stantec Consulting Ltd.,2011-10-20T10:38:47.710Z,CONVERSION
1084923,297,null,Stantec Consulting Ltd.,Stantec Consulting Ltd.,2011-10-20T10:38:47.710Z,CONVERSION
1084925,1668,null,Stantec Consulting Ltd.,Stantec Consulting Ltd.,2011-10-20T10:38:47.710Z,CONVERSION
1084927,1816,null,Matrix Solutions Inc.,Matrix Solutions Inc.,2011-10-20T10:38:47.710Z,CONVERSION
1084929,1228,null,Matrix Solutions Inc.,Matrix Solutions Inc.,2011-10-20T10:38:47.710Z,CONVERSION
1084931,1532,null,Matrix Solutions Inc.,Matrix Solutions Inc.,2011-10-20T10:38:47.710Z,CONVERSION
1084933,1086,null,Matrix Solutions Inc.,Matrix Solutions Inc.,2011-10-20T10:38:47.710Z,CONVERSION
1084935,1862,null,Thomson Hydrogeologic Ltd.,Thomson Hydrogeologic Ltd.,2011-10-20T10:38:47.710Z,CONVERSION
1084937,1087,null,Thomson Hydrogeologic Ltd.,Signum Consulting Ltd.,2011-10-20T10:38:47.710Z,CONVERSION
1084939,246,null,Thomson Hydrogeologic Ltd.,Signum Consulting Ltd.,2011-10-20T10:38:47.710Z,CONVERSION
1084941,2345,null,Thomson Hydrogeologic Ltd.,Thomson Hydrogeologic Ltd.,2011-10-20T10:38:47.710Z,CONVERSION
1084943,2250,null,Thomson Hydrogeologic Ltd.,Thomson Hydrogeologic Ltd.,2011-10-20T10:38:47.710Z,CONVERSION
1084945,1278,null,Thomson Hydrogeologic Ltd.,Thomson Hydrogeologic Ltd.,2011-10-20T10:38:47.710Z,CONVERSION
1084947,2346,Tall Pine Drilling Ltd.,Trident Exploration Corp.,Tall Pine Drilling Ltd.,2011-10-20T10:38:47.710Z,CONVERSION
1084949,1817,M & M Drilling Co. Ltd.,WorleyParsons Komex,WorleyParsons Komex,2011-10-20T10:38:47.710Z,CONVERSION
1084951,1533,null,Matrix Solutions Inc.,null,2011-10-20T10:38:47.710Z,CONVERSION
1084953,2302,Lousana Water Wells (1987) Ltd.,WorleyParsons Komex,WorleyParsons Komex,2011-10-20T10:38:47.710Z,CONVERSION
1084955,1193,M & M Drilling Co. Ltd.,WorleyParsons Komex,WorleyParsons Komex,2011-10-20T10:38:47.710Z,CONVERSION
1084959,1818,Baseline Water Resource Inc.,Baseline Water Resource Inc.,Baseline Water Resource Inc.,2011-10-20T10:38:47.710Z,CONVERSION
1084961,1669,Baseline Water Resource Inc.,Baseline Water Resource Inc.,Baseline Water Resource Inc.,2011-10-20T10:38:47.710Z,CONVERSION
1084963,1629,Baseline Water Resource Inc.,Baseline Water Resource Inc.,Baseline Water Resource Inc.,2011-10-20T10:38:47.710Z,CONVERSION
1084965,1920,Baseline Water Resource Inc.,Baseline Water Resource Inc.,Baseline Water Resource Inc.,2011-10-20T10:38:47.710Z,CONVERSION
1084967,1194,Baseline Water Resource Inc.,Baseline Water Resource Inc.,Baseline Water Resource Inc.,2011-10-20T10:38:47.710Z,CONVERSION
1084969,1229,Baseline Water Resource Inc.,Baseline Water Resource Inc.,Baseline Water Resource Inc.,2011-10-20T10:38:47.710Z,CONVERSION
1084971,640,Nor-Alta Environmental Services Ltd.,Nor-Alta Environmental Services Ltd.,Nor-Alta Environmental Services Ltd.,2011-10-20T10:38:47.710Z,CONVERSION
1084973,4206,Nor-Alta Environmental Services Ltd.,Nor-Alta Environmental Services Ltd.,Nor-Alta Environmental Services Ltd.,2011-10-20T10:38:47.710Z,CONVERSION
1084975,586,M & M Drilling Co. Ltd.,WorleyParsons Komex,WorleyParsons Komex,2011-10-20T10:38:47.710Z,CONVERSION
1084977,1230,M & M Drilling Co. Ltd.,WorleyParsons Komex,WorleyParsons Komex,2011-10-20T10:38:47.710Z,CONVERSION
1084979,1921,M & M Drilling Co. Ltd.,WorleyParsons Komex,WorleyParsons Komex,2011-10-20T10:38:47.710Z,CONVERSION
1084981,641,M & M Drilling Co. Ltd.,WorleyParsons Komex,WorleyParsons Komex,2011-10-20T10:38:47.710Z,CONVERSION
1084983,38,M & M Drilling Co. Ltd.,WorleyParsons Komex,WorleyParsons Komex,2011-10-20T10:38:47.710Z,CONVERSION
1084985,642,M & M Drilling Co. Ltd.,WorleyParsons Komex,WorleyParsons Komex,2011-10-20T10:38:47.710Z,CONVERSION
1084987,1534,M & M Drilling Co. Ltd.,WorleyParsons Komex,WorleyParsons Komex,2011-10-20T10:38:47.710Z,CONVERSION
1084989,4207,M & M Drilling Co. Ltd.,WorleyParsons Komex,WorleyParsons Komex,2011-10-20T10:38:47.710Z,CONVERSION
1084991,587,M & M Drilling Co. Ltd.,WorleyParsons Komex,WorleyParsons Komex,2011-10-20T10:38:47.710Z,CONVERSION
1084993,1535,M & M Drilling Co. Ltd.,WorleyParsons Komex,WorleyParsons Komex,2011-10-20T10:38:47.710Z,CONVERSION
1084995,1819,M & M Drilling Co. Ltd.,WorleyParsons Komex,WorleyParsons Komex,2011-10-20T10:38:47.710Z,CONVERSION
1084997,1630,M & M Drilling Co. Ltd.,WorleyParsons Komex,WorleyParsons Komex,2011-10-20T10:38:47.710Z,CONVERSION
1084999,1863,M & M Drilling Co. Ltd.,WorleyParsons Komex,WorleyParsons Komex,2011-10-20T10:38:47.710Z,CONVERSION
1085001,39,M & M Drilling Co. Ltd.,WorleyParsons Komex,WorleyParsons Komex,2011-10-20T10:38:47.710Z,CONVERSION
1085003,1864,M & M Drilling Co. Ltd.,WorleyParsons Komex,WorleyParsons Komex,2011-10-20T10:38:47.710Z,CONVERSION
1085005,1231,M & M Drilling Co. Ltd.,WorleyParsons Komex,WorleyParsons Komex,2011-10-20T10:38:47.710Z,CONVERSION
1085007,195,M & M Drilling Co. Ltd.,WorleyParsons Komex,WorleyParsons Komex,2011-10-20T10:38:47.710Z,CONVERSION
1085009,2251,M & M Drilling Co. Ltd.,WorleyParsons Komex,WorleyParsons Komex,2011-10-20T10:38:47.710Z,CONVERSION
1085011,1922,M & M Drilling Co. Ltd.,WorleyParsons Komex,WorleyParsons Komex,2011-10-20T10:38:47.710Z,CONVERSION
1085013,1865,M & M Drilling Co. Ltd.,WorleyParsons Komex,WorleyParsons Komex,2011-10-20T10:38:47.710Z,CONVERSION
1085015,196,M & M Drilling Co. Ltd.,WorleyParsons Komex,WorleyParsons Komex,2011-10-20T10:38:47.710Z,CONVERSION
1085017,1336,M & M Drilling Co. Ltd.,WorleyParsons Komex,WorleyParsons Komex,2011-10-20T10:38:47.710Z,CONVERSION
1085019,2303,M & M Drilling Co. Ltd.,WorleyParsons Komex,WorleyParsons Komex,2011-10-20T10:38:47.710Z,CONVERSION
1085021,1866,M & M Drilling Co. Ltd.,WorleyParsons Komex,WorleyParsons Komex,2011-10-20T10:38:47.710Z,CONVERSION
1085023,1232,M & M Drilling Co. Ltd.,WorleyParsons Komex,WorleyParsons Komex,2011-10-20T10:38:47.710Z,CONVERSION
1085025,1233,M & M Drilling Co. Ltd.,WorleyParsons Komex,WorleyParsons Komex,2011-10-20T10:38:47.710Z,CONVERSION
1085027,1631,M & M Drilling Co. Ltd.,WorleyParsons Komex,WorleyParsons Komex,2011-10-20T10:38:47.710Z,CONVERSION
1085029,1279,M & M Drilling Co. Ltd.,WorleyParsons Komex,WorleyParsons Komex,2011-10-20T10:38:47.710Z,CONVERSION
1085031,197,M & M Drilling Co. Ltd.,WorleyParsons Komex,WorleyParsons Komex,2011-10-20T10:38:47.710Z,CONVERSION
1085033,40,M & M Drilling Co. Ltd.,WorleyParsons Komex,WorleyParsons Komex,2011-10-20T10:38:47.710Z,CONVERSION
1085035,1088,M & M Drilling Co. Ltd.,WorleyParsons Komex,WorleyParsons Komex,2011-10-20T10:38:47.710Z,CONVERSION
