WELL_MEASURES_ID,WELL_TEST_ID,WELL_COMPLETION_INTERVAL,CURRENT_WELL_USE,WELL_DEPTH,WELL_DEPTH_TEXT,WELL_COMPLETION_UNIT,DEPTH_UNIT,WELL_IN_PIT,CREATE_TIMESTAMP,CREATE_USERID
1179495,373,35.66 - 45.76 m,Domestic,41.76,null,null,metres,null,2011-10-20T10:38:47.710Z,CONVERSION
1179497,71,null,Domestic,null,null,null,null,null,2011-10-20T10:38:47.710Z,CONVERSION
1179499,858,null,Domestic,null,null,null,null,null,2011-10-20T10:38:47.710Z,CONVERSION
1179501,451,null,Domestic,null,null,null,null,null,2011-10-20T10:38:47.710Z,CONVERSION
1179503,452,null,Domestic,null,null,null,null,null,2011-10-20T10:38:47.710Z,CONVERSION
1179505,322,49.68 - 54.25 m,Agricultural,56.69,null,null,metres,null,2011-10-20T10:38:47.710Z,CONVERSION
1179507,2319,null,Domestic,null,null,null,null,null,2011-10-20T10:38:47.710Z,CONVERSION
1179509,72,8.53 to 12.5 m,Domestic,13.72,null,null,metres,null,2011-10-20T10:38:47.710Z,CONVERSION
1179511,374,null,Domestic,null,null,null,null,null,2011-10-20T10:38:47.710Z,CONVERSION
1179513,714,5.1 - 13.11,Domestic,27.43,null,null,metres,null,2011-10-20T10:38:47.710Z,CONVERSION
1179515,859,null,Domestic,null,null,null,null,null,2011-10-20T10:38:47.710Z,CONVERSION
1179517,807,null,Agricultural,null,null,null,null,null,2011-10-20T10:38:47.710Z,CONVERSION
1179519,116,null,Agricultural,null,null,null,null,null,2011-10-20T10:38:47.710Z,CONVERSION
1179521,904,48.16 - 79.25,Domestic/Stock,79.25,null,null,metres,null,2011-10-20T10:38:47.710Z,CONVERSION
1179523,1004,null,Domestic,40.2,null,null,metres,null,2011-10-20T10:38:47.710Z,CONVERSION
1179525,14,null,Domestic,9.1,null,null,metres,null,2011-10-20T10:38:47.710Z,CONVERSION
1179527,905,null,Domestic,61,null,null,metres,null,2011-10-20T10:38:47.710Z,CONVERSION
1179529,655,null,Domestic,36.6,null,null,metres,null,2011-10-20T10:38:47.710Z,CONVERSION
1179531,808,null,Domestic,null,null,null,null,null,2011-10-20T10:38:47.710Z,CONVERSION
1179533,715,null,Domestic,null,null,null,null,null,2011-10-20T10:38:47.710Z,CONVERSION
1179535,117,null,Domestic,null,null,null,null,null,2011-10-20T10:38:47.710Z,CONVERSION
1179537,906,null,Domestic,35,null,null,metres,null,2011-10-20T10:38:47.710Z,CONVERSION
1179539,809,null,Domestic,null,null,null,null,null,2011-10-20T10:38:47.710Z,CONVERSION
1179541,561,28.35 to 30.78 m,Agricultural,54.86,null,null,metres,null,2011-10-20T10:38:47.710Z,CONVERSION
1179543,164,null,Domestic,null,null,null,null,null,2011-10-20T10:38:47.710Z,CONVERSION
1179545,810,28.04 - 31.39 m,Domestic,33.53,null,null,metres,null,2011-10-20T10:38:47.710Z,CONVERSION
1179547,266,null,Domestic,54.86,null,null,metres,null,2011-10-20T10:38:47.710Z,CONVERSION
1179549,414,null,Irrigation,null,null,null,null,null,2011-10-20T10:38:47.710Z,CONVERSION
1179551,766,null,Domestic,null,null,null,null,null,2011-10-20T10:38:47.710Z,CONVERSION
1179553,2221,null,Domestic,51,null,null,metres,Yes,2011-10-20T10:38:47.710Z,CONVERSION
1179555,118,null,Agricultural,null,null,null,null,null,2011-10-20T10:38:47.710Z,CONVERSION
1179557,508,null,Domestic,null,null,null,null,Yes,2011-10-20T10:38:47.710Z,CONVERSION
