WELL_ID,GOA_WELL_ID,WELL_GIC_ID,WELL_GIC_ID_TEXT,LATTITUDE,LONGITUDE,LSD,SECTION,QTR,TOWNSHIP,RANGE,MERIDIAN,YEAR_WELL_DRILLED,YEAR_WELL_DRILLED_TEXT,WELL_LOCATION,LEGAL_LAND_LOCATION,ELEVATION,ELEVATION_UNITS,CREATE_TIMESTAMP,CREATE_USERID
3630,null,null,null,52.592905,-113.481813,null,1,NW,42,25,4,null,null,3 m west of blue barn next to driveway,NW-01-042-25-W4,null,metres,2011-10-20T10:38:47.710Z,CONVERSION
3631,null,290638,null,51.669392,-113.431267,null,23,SE,31,25,4,1998,null,30m SE of barn,SE-23-031-25-W4,null,metres,2011-10-20T10:38:47.710Z,CONVERSION
3632,null,225762,null,51.546229,-113.321086,null,4,NE,30,24,4,null,null,30 m SE of residence in cribbing,NE-04-030-24-W4,null,metres,2011-10-20T10:38:47.710Z,CONVERSION
3633,null,135070,null,51.592385,-113.287069,null,27,SE,30,24,4,1988,null,50m North of residence,SE-27-030-24-W4,null,metres,2011-10-20T10:38:47.710Z,CONVERSION
3634,null,230441,null,51.627188,-113.679401,null,6,SW,31,26,4,1949,null,300 m SW of residence 1,SW-06-031-26-W4,null,metres,2011-10-20T10:38:47.710Z,CONVERSION
3635,null,null,null,51.667028,-113.424288,null,24,SW,31,25,4,null,null,~1200m south west of residence.,SW-24-031-25-W4,null,metres,2011-10-20T10:38:47.710Z,CONVERSION
3636,null,null,null,51.859181,-113.526573,null,30,SE,33,25,4,null,null,40 m West of residence,SE-30-033-25-W4,null,metres,2011-10-20T10:38:47.710Z,CONVERSION
3637,null,null,null,51.660764,-113.425759,null,13,NW,31,25,4,null,null,~1800m south of residence.,NW-13-031-25-W4,null,metres,2011-10-20T10:38:47.710Z,CONVERSION
3638,null,null,null,51.419246,-113.44902,null,27,SW,28,25,4,null,null,null,SW-27-028-25-W4,null,metres,2011-10-20T10:38:47.710Z,CONVERSION
3639,null,null,null,51.419246,-113.44902,null,27,SW,28,25,4,null,null,null,SW-27-028-25-W4,null,metres,2011-10-20T10:38:47.710Z,CONVERSION
3640,null,null,null,50.989336,-112.682857,null,26,NE,23,20,4,null,null,approx. 120 ft. west of house,NE-26-023-20-W4,null,metres,2011-10-20T10:38:47.710Z,CONVERSION
3641,null,null,null,52.891526,-113.755572,null,19,SE,45,26,4,null,null,null,SE-19-045-26-W4,null,metres,2011-10-20T10:38:47.710Z,CONVERSION
3642,null,295381,null,52.899738,-113.681069,null,22,NE,45,26,4,2000,null,20 m from SE corner of house,NE-22-045-26-W4,null,metres,2011-10-20T10:38:47.710Z,CONVERSION
3643,null,41889,null,52.766837,-112.986995,null,4,NE,44,21,4,null,null,10 m SW of house by fish pond,NE-04-044-21-W4,null,metres,2011-10-20T10:38:47.710Z,CONVERSION
3644,null,143512,null,52.785889,-113.048726,4,18,SW,44,21,4,null,null,20 m NW of garage,4-18-044-21-W4,null,metres,2011-10-20T10:38:47.710Z,CONVERSION
